Profile,SNR_dB,Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
2,0,S0_Static,A,NORMAL,m_reliability,0.510553,0.513047,0.466313,0.550895
2,0,S0_Static,A,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S0_Static,A,NORMAL,R_vb,0.480770,0.439116,0.100000,0.917140
2,0,S0_Static,A,NORMAL,R_eff,0.480770,0.439116,0.100000,0.917140
2,0,S0_Static,A,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S0_Static,A,NORMAL,K_delay,0.592037,0.569886,0.422529,0.808396
2,0,S0_Static,A,NORMAL,Q11,0.266588,0.274476,0.100410,0.415464
2,0,S0_Static,A,NORMAL,Q22,0.001819,0.001694,0.001115,0.002768
2,0,S0_Static,A,NORMAL,innovation,0.000823,-0.035554,-1.207713,1.335294
2,0,S0_Static,A,NORMAL,abs_innovation,0.751121,0.575012,0.101893,1.749551
2,0,S0_Static,A,NORMAL,S,1.075763,1.013361,0.477167,1.750141
2,0,S0_Static,A,NORMAL,NIS,1.098111,0.346474,0.010316,3.196165
2,0,S0_Static,A,NORMAL,Ppred11,0.594993,0.566686,0.323185,0.872469
2,0,S0_Static,A,NORMAL,Ppred22,0.039207,0.025658,0.020774,0.031173
2,0,S0_Static,A,NORMAL,tracking_error,-0.089729,-0.106650,-0.857956,0.703048
2,0,S0_Static,VB-FQ,NORMAL,m_reliability,0.516809,0.520553,0.475137,0.553833
2,0,S0_Static,VB-FQ,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S0_Static,VB-FQ,NORMAL,R_vb,0.446219,0.442385,0.298313,0.598684
2,0,S0_Static,VB-FQ,NORMAL,R_eff,0.446219,0.442385,0.298313,0.598684
2,0,S0_Static,VB-FQ,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S0_Static,VB-FQ,NORMAL,K_delay,0.409108,0.392488,0.357672,0.441612
2,0,S0_Static,VB-FQ,NORMAL,Q11,0.050000,0.050000,0.050000,0.050000
2,0,S0_Static,VB-FQ,NORMAL,Q22,0.002000,0.002000,0.002000,0.002000
2,0,S0_Static,VB-FQ,NORMAL,innovation,0.011164,-0.026461,-1.022884,1.152576
2,0,S0_Static,VB-FQ,NORMAL,abs_innovation,0.673131,0.517561,0.093918,1.551022
2,0,S0_Static,VB-FQ,NORMAL,S,0.755015,0.730569,0.552587,0.943995
2,0,S0_Static,VB-FQ,NORMAL,NIS,1.054875,0.366742,0.011834,3.261413
2,0,S0_Static,VB-FQ,NORMAL,Ppred11,0.308796,0.286741,0.239760,0.343171
2,0,S0_Static,VB-FQ,NORMAL,Ppred22,0.031108,0.016992,0.016411,0.018024
2,0,S0_Static,VB-FQ,NORMAL,tracking_error,-0.100571,-0.120488,-0.787109,0.651576
2,0,S0_Static,E-FQ,NORMAL,m_reliability,0.941591,0.987721,0.883113,1.000000
2,0,S0_Static,E-FQ,NORMAL,rho_raw,0.517757,0.524623,0.454191,0.566885
2,0,S0_Static,E-FQ,NORMAL,rho_relative,0.942086,1.000000,0.833521,1.000000
2,0,S0_Static,E-FQ,NORMAL,Lambda,1.057386,1.005240,1.000000,1.185312
2,0,S0_Static,E-FQ,NORMAL,R_vb,0.479530,0.477095,0.314696,0.659426
2,0,S0_Static,E-FQ,NORMAL,R_eff,0.508799,0.501410,0.323192,0.713252
2,0,S0_Static,E-FQ,NORMAL,R_eff_R_vb,1.057386,1.005240,1.000000,1.185312
2,0,S0_Static,E-FQ,NORMAL,K_delay,0.395955,0.382348,0.330149,0.435101
2,0,S0_Static,E-FQ,NORMAL,Q11,0.050000,0.050000,0.050000,0.050000
2,0,S0_Static,E-FQ,NORMAL,Q22,0.002000,0.002000,0.002000,0.002000
2,0,S0_Static,E-FQ,NORMAL,innovation,0.014272,-0.025976,-1.006109,1.145075
2,0,S0_Static,E-FQ,NORMAL,abs_innovation,0.668103,0.514356,0.091283,1.547122
2,0,S0_Static,E-FQ,NORMAL,S,0.837173,0.812619,0.594760,1.090521
2,0,S0_Static,E-FQ,NORMAL,NIS,0.926122,0.331741,0.010786,2.802191
2,0,S0_Static,E-FQ,NORMAL,Ppred11,0.328373,0.307373,0.251957,0.375002
2,0,S0_Static,E-FQ,NORMAL,Ppred22,0.031348,0.017271,0.016605,0.018321
2,0,S0_Static,E-FQ,NORMAL,tracking_error,-0.107692,-0.125464,-0.780622,0.637130
2,0,S1_Warp,A,NORMAL,m_reliability,0.505432,0.508208,0.468494,0.544182
2,0,S1_Warp,A,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S1_Warp,A,NORMAL,R_vb,0.488132,0.443675,0.100000,0.934173
2,0,S1_Warp,A,NORMAL,R_eff,0.488132,0.443675,0.100000,0.934173
2,0,S1_Warp,A,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S1_Warp,A,NORMAL,K_delay,0.603065,0.587148,0.431104,0.808396
2,0,S1_Warp,A,NORMAL,Q11,0.300089,0.312750,0.104649,0.466125
2,0,S1_Warp,A,NORMAL,Q22,0.001915,0.001802,0.001267,0.002820
2,0,S1_Warp,A,NORMAL,innovation,-0.014128,-0.038040,-1.311689,1.330015
2,0,S1_Warp,A,NORMAL,abs_innovation,0.826402,0.709599,0.138598,1.694915
2,0,S1_Warp,A,NORMAL,S,1.129522,1.069238,0.521909,1.822404
2,0,S1_Warp,A,NORMAL,NIS,1.099326,0.477401,0.019431,3.014024
2,0,S1_Warp,A,NORMAL,Ppred11,0.641391,0.614307,0.355586,0.944449
2,0,S1_Warp,A,NORMAL,Ppred22,0.040974,0.027372,0.023353,0.032228
2,0,S1_Warp,A,NORMAL,tracking_error,-0.115875,-0.168733,-0.723325,0.565120
2,0,S1_Warp,VB-FQ,NORMAL,m_reliability,0.509873,0.512644,0.474995,0.547455
2,0,S1_Warp,VB-FQ,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
2,0,S1_Warp,VB-FQ,NORMAL,R_vb,0.488835,0.479633,0.301650,0.644356
2,0,S1_Warp,VB-FQ,NORMAL,R_eff,0.488835,0.479633,0.301650,0.644356
2,0,S1_Warp,VB-FQ,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
2,0,S1_Warp,VB-FQ,NORMAL,K_delay,0.400960,0.382929,0.349488,0.444317
2,0,S1_Warp,VB-FQ,NORMAL,Q11,0.050000,0.050000,0.050000,0.050000
2,0,S1_Warp,VB-FQ,NORMAL,Q22,0.002000,0.002000,0.002000,0.002000
2,0,S1_Warp,VB-FQ,NORMAL,innovation,-0.000745,-0.004958,-1.200269,1.223387
2,0,S1_Warp,VB-FQ,NORMAL,abs_innovation,0.763738,0.650430,0.127041,1.551788
2,0,S1_Warp,VB-FQ,NORMAL,S,0.814729,0.783964,0.581452,1.006320
2,0,S1_Warp,VB-FQ,NORMAL,NIS,1.099590,0.533804,0.021795,3.027677
2,0,S1_Warp,VB-FQ,NORMAL,Ppred11,0.325894,0.301185,0.249343,0.363391
2,0,S1_Warp,VB-FQ,NORMAL,Ppred22,0.032006,0.017189,0.016593,0.018440
2,0,S1_Warp,VB-FQ,NORMAL,tracking_error,-0.136756,-0.189575,-0.620904,0.445407
2,0,S1_Warp,E-FQ,NORMAL,m_reliability,0.951726,1.000000,0.930688,1.000000
2,0,S1_Warp,E-FQ,NORMAL,rho_raw,0.511430,0.515674,0.459760,0.559872
2,0,S1_Warp,E-FQ,NORMAL,rho_relative,0.952794,1.000000,0.903175,1.000000
2,0,S1_Warp,E-FQ,NORMAL,Lambda,1.025563,1.000000,1.000000,1.092418
2,0,S1_Warp,E-FQ,NORMAL,R_vb,0.498312,0.494000,0.311751,0.654347
2,0,S1_Warp,E-FQ,NORMAL,R_eff,0.511471,0.505147,0.317378,0.685360
2,0,S1_Warp,E-FQ,NORMAL,R_eff_R_vb,1.025563,1.000000,1.000000,1.092418
2,0,S1_Warp,E-FQ,NORMAL,K_delay,0.396181,0.379490,0.340039,0.439669
2,0,S1_Warp,E-FQ,NORMAL,Q11,0.050000,0.050000,0.050000,0.050000
2,0,S1_Warp,E-FQ,NORMAL,Q22,0.002000,0.002000,0.002000,0.002000
2,0,S1_Warp,E-FQ,NORMAL,innovation,-0.000362,-0.006985,-1.196756,1.218580
2,0,S1_Warp,E-FQ,NORMAL,abs_innovation,0.757290,0.635378,0.126642,1.551911
2,0,S1_Warp,E-FQ,NORMAL,S,0.844545,0.819012,0.597245,1.060983
2,0,S1_Warp,E-FQ,NORMAL,NIS,1.040507,0.500035,0.021170,2.883434
2,0,S1_Warp,E-FQ,NORMAL,Ppred11,0.333075,0.309116,0.253050,0.375779
2,0,S1_Warp,E-FQ,NORMAL,Ppred22,0.032094,0.017282,0.016635,0.018468
2,0,S1_Warp,E-FQ,NORMAL,tracking_error,-0.143017,-0.196048,-0.625867,0.443156
