Profile,SNR_dB,Scenario,Variant,ValidRate,RMSE_Median,RMSE_Mean,Bias_Median,BER,SyncFailRate
2,0,S0_Static,A,1.0000,0.5246,0.5853,-0.1112,0.000000,0.0000
2,0,S0_Static,VB-FQ,1.0000,0.4482,0.5247,-0.1526,0.000000,0.0000
2,0,S0_Static,E-FQ,1.0000,0.4575,0.5224,-0.1756,0.000000,0.0000
2,0,S1_Warp,A,1.0000,0.4759,0.5147,-0.2058,0.000000,0.0000
2,0,S1_Warp,VB-FQ,1.0000,0.3924,0.4420,-0.2240,0.000000,0.0000
2,0,S1_Warp,E-FQ,1.0000,0.3960,0.4434,-0.2295,0.000000,0.0000
2,0,S2_Fade,A,1.0000,0.6956,0.7725,0.0187,0.006333,0.0000
2,0,S2_Fade,VB-FQ,1.0000,0.6900,0.7237,-0.0393,0.005667,0.0000
2,0,S2_Fade,E-FQ,1.0000,0.5446,0.6439,-0.0284,0.005333,0.0000
2,0,S3_Warp_Fade,A,1.0000,0.5791,0.5894,-0.2007,0.007500,0.0000
2,0,S3_Warp_Fade,VB-FQ,1.0000,0.4906,0.5037,-0.2359,0.007500,0.0000
2,0,S3_Warp_Fade,E-FQ,1.0000,0.3958,0.4356,-0.2270,0.005500,0.0000
2,15,S0_Static,A,1.0000,0.3191,0.3306,0.0827,0.000000,0.0000
2,15,S0_Static,VB-FQ,1.0000,0.2780,0.2981,0.0580,0.000000,0.0000
2,15,S0_Static,E-FQ,1.0000,0.2595,0.2766,0.0113,0.000000,0.0000
2,15,S1_Warp,A,1.0000,0.4069,0.4008,-0.1906,0.000000,0.0000
2,15,S1_Warp,VB-FQ,1.0000,0.3224,0.3201,-0.2175,0.000000,0.0000
2,15,S1_Warp,E-FQ,1.0000,0.3178,0.3169,-0.2081,0.000000,0.0000
2,15,S2_Fade,A,1.0000,0.3434,0.3445,0.0666,0.000000,0.0000
2,15,S2_Fade,VB-FQ,1.0000,0.2946,0.3061,0.0635,0.000000,0.0000
2,15,S2_Fade,E-FQ,1.0000,0.2661,0.2796,0.0116,0.000000,0.0000
2,15,S3_Warp_Fade,A,1.0000,0.3961,0.4000,-0.1809,0.000000,0.0000
2,15,S3_Warp_Fade,VB-FQ,1.0000,0.3226,0.3267,-0.2130,0.000000,0.0000
2,15,S3_Warp_Fade,E-FQ,1.0000,0.3168,0.3152,-0.2001,0.000000,0.0000
3,0,S0_Static,A,1.0000,0.4929,0.5345,0.0599,0.000000,0.0000
3,0,S0_Static,VB-FQ,1.0000,0.4838,0.5015,-0.0038,0.000000,0.0000
3,0,S0_Static,E-FQ,1.0000,0.4715,0.5027,0.0500,0.000000,0.0000
3,0,S1_Warp,A,1.0000,0.4059,0.4116,-0.1163,0.000000,0.0000
3,0,S1_Warp,VB-FQ,1.0000,0.3061,0.3147,-0.1486,0.000000,0.0000
3,0,S1_Warp,E-FQ,1.0000,0.2986,0.3065,-0.1380,0.000000,0.0000
3,0,S2_Fade,A,1.0000,0.4792,0.5169,-0.0098,0.002167,0.0000
3,0,S2_Fade,VB-FQ,1.0000,0.4403,0.4685,0.0111,0.001500,0.0000
3,0,S2_Fade,E-FQ,1.0000,0.3983,0.4374,0.0089,0.001000,0.0000
3,0,S3_Warp_Fade,A,1.0000,0.4686,0.4702,-0.1164,0.002833,0.0000
3,0,S3_Warp_Fade,VB-FQ,1.0000,0.3529,0.3639,-0.1405,0.002000,0.0000
3,0,S3_Warp_Fade,E-FQ,1.0000,0.2881,0.3047,-0.1172,0.001000,0.0000
3,15,S0_Static,A,1.0000,0.2631,0.2660,-0.0621,0.000000,0.0000
3,15,S0_Static,VB-FQ,1.0000,0.3074,0.3128,0.0877,0.000000,0.0000
3,15,S0_Static,E-FQ,1.0000,0.2760,0.2857,0.0562,0.000000,0.0000
3,15,S1_Warp,A,1.0000,0.3697,0.3681,-0.0912,0.000000,0.0000
3,15,S1_Warp,VB-FQ,1.0000,0.2739,0.2726,-0.1254,0.000000,0.0000
3,15,S1_Warp,E-FQ,1.0000,0.2665,0.2663,-0.1191,0.000000,0.0000
3,15,S2_Fade,A,1.0000,0.2718,0.2736,-0.0650,0.000000,0.0000
3,15,S2_Fade,VB-FQ,1.0000,0.3022,0.3060,0.0624,0.000000,0.0000
3,15,S2_Fade,E-FQ,1.0000,0.2728,0.2751,0.0322,0.000000,0.0000
3,15,S3_Warp_Fade,A,1.0000,0.3769,0.3757,-0.0984,0.000000,0.0000
3,15,S3_Warp_Fade,VB-FQ,1.0000,0.2813,0.2788,-0.1323,0.000000,0.0000
3,15,S3_Warp_Fade,E-FQ,1.0000,0.2638,0.2645,-0.1198,0.000000,0.0000
