SNR_dB,VelocityAmp_mps,c2,ValidTrials,MeanRMSE,MedianRMSE,StdError
0,0.5,0.001000,20,2.437001,2.440550,0.018400
0,0.5,0.002783,20,2.424274,2.423929,0.027111
0,0.5,0.007743,20,2.355109,2.437235,0.079937
0,0.5,0.020000,20,2.406032,2.429856,0.023378
0,0.5,0.021544,20,2.396163,2.388695,0.026704
0,0.5,0.059948,20,2.312340,2.319061,0.026290
0,0.5,0.166810,20,1.934361,2.046664,0.072023
0,0.5,0.464159,20,1.362286,1.361689,0.025783
0,0.5,1.291550,20,0.737168,0.739551,0.009578
0,0.5,3.593814,20,0.636840,0.617790,0.013173
0,0.5,10.000000,20,0.677996,0.694093,0.012297
0,1.5,0.001000,20,2.669295,2.661002,0.022666
0,1.5,0.002783,20,2.734176,2.750840,0.020404
0,1.5,0.007743,20,2.660330,2.674666,0.020944
0,1.5,0.020000,20,2.692881,2.690373,0.020401
0,1.5,0.021544,20,2.679669,2.695128,0.018615
0,1.5,0.059948,20,2.572716,2.553248,0.018130
0,1.5,0.166810,20,2.261666,2.239370,0.013459
0,1.5,0.464159,20,1.676068,1.679236,0.017961
0,1.5,1.291550,20,0.970013,0.961409,0.014195
0,1.5,3.593814,20,0.753854,0.741577,0.012433
0,1.5,10.000000,20,0.799539,0.783730,0.012088
15,0.5,0.001000,20,2.034019,2.009270,0.021128
15,0.5,0.002783,20,2.002923,1.983650,0.022279
15,0.5,0.007743,20,1.994520,1.993636,0.016706
15,0.5,0.020000,20,1.989107,1.990125,0.018530
15,0.5,0.021544,20,1.989373,1.999760,0.019033
15,0.5,0.059948,20,1.865042,1.855736,0.018165
15,0.5,0.166810,20,1.612650,1.631100,0.013395
15,0.5,0.464159,20,1.100688,1.085677,0.010586
15,0.5,1.291550,20,0.682503,0.682051,0.005827
15,0.5,3.593814,20,0.605080,0.615696,0.006277
15,0.5,10.000000,20,0.631832,0.635937,0.007470
15,1.5,0.001000,20,2.369258,2.376002,0.016353
15,1.5,0.002783,20,2.404899,2.444267,0.016049
15,1.5,0.007743,20,2.384267,2.416279,0.020173
15,1.5,0.020000,20,2.338615,2.329433,0.016750
15,1.5,0.021544,20,2.313873,2.320769,0.018119
15,1.5,0.059948,20,2.219906,2.214436,0.015576
15,1.5,0.166810,20,1.910115,1.901362,0.011858
15,1.5,0.464159,20,1.403306,1.412565,0.010857
15,1.5,1.291550,20,0.869168,0.870542,0.005627
15,1.5,3.593814,20,0.735866,0.737102,0.009626
15,1.5,10.000000,20,0.731300,0.735303,0.009370
