SNR_dB,VelAmp_mps,C2,RMSE_Median
0,0.5,0.0050,0.688400
0,0.5,0.0100,0.743389
0,0.5,0.0200,0.695030
0,0.5,0.0500,0.709223
0,0.5,0.1000,0.683426
0,0.5,0.2000,0.686014
0,0.5,0.5000,0.687141
0,0.5,1.0000,0.648551
0,0.5,2.0000,0.730931
0,0.5,5.0000,0.739816
0,1.5,0.0050,0.838909
0,1.5,0.0100,0.811758
0,1.5,0.0200,0.762515
0,1.5,0.0500,0.749317
0,1.5,0.1000,0.767654
0,1.5,0.2000,0.745038
0,1.5,0.5000,0.744587
0,1.5,1.0000,0.774898
0,1.5,2.0000,0.828413
0,1.5,5.0000,0.744451
15,0.5,0.0050,0.639307
15,0.5,0.0100,0.609850
15,0.5,0.0200,0.609578
15,0.5,0.0500,0.614191
15,0.5,0.1000,0.627146
15,0.5,0.2000,0.626804
15,0.5,0.5000,0.652174
15,0.5,1.0000,0.624571
15,0.5,2.0000,0.618574
15,0.5,5.0000,0.626504
15,1.5,0.0050,0.712876
15,1.5,0.0100,0.718848
15,1.5,0.0200,0.674656
15,1.5,0.0500,0.716181
15,1.5,0.1000,0.716962
15,1.5,0.2000,0.704691
15,1.5,0.5000,0.697860
15,1.5,1.0000,0.688464
15,1.5,2.0000,0.712248
15,1.5,5.0000,0.757743
