Profile,SNR_dB,Pfa,OrderIdx,Recall_Median,FP_Median,Precision_Median,Fallback_Rate
1,-10,1.000000e-02,0.50,0.0000,15.0000,0.0000,0.2000
1,-10,1.000000e-02,0.75,0.0000,0.0000,0.0000,0.8000
1,-10,1.000000e-03,0.50,0.0000,0.0000,0.0000,0.8000
1,-10,1.000000e-03,0.75,0.0000,0.0000,0.0000,1.0000
1,-10,1.000000e-04,0.50,0.0000,0.0000,0.0000,0.8000
1,-10,1.000000e-04,0.75,0.0000,0.0000,0.0000,1.0000
1,0,1.000000e-02,0.50,0.0000,4.0000,0.0000,0.2000
1,0,1.000000e-02,0.75,0.0000,0.0000,0.0000,0.6000
1,0,1.000000e-03,0.50,0.0000,0.0000,0.0000,1.0000
1,0,1.000000e-03,0.75,0.0000,0.0000,0.0000,1.0000
1,0,1.000000e-04,0.50,0.0000,0.0000,0.0000,0.8000
1,0,1.000000e-04,0.75,0.0000,0.0000,0.0000,1.0000
2,-10,1.000000e-02,0.50,0.0000,8.0000,0.0000,0.0000
2,-10,1.000000e-02,0.75,0.0000,0.0000,0.0000,0.8000
2,-10,1.000000e-03,0.50,0.0000,0.0000,0.0000,1.0000
2,-10,1.000000e-03,0.75,0.0000,0.0000,0.0000,1.0000
2,-10,1.000000e-04,0.50,0.0000,0.0000,0.0000,1.0000
2,-10,1.000000e-04,0.75,0.0000,0.0000,0.0000,1.0000
2,0,1.000000e-02,0.50,0.0000,11.0000,0.0000,0.0000
2,0,1.000000e-02,0.75,0.0000,0.0000,0.0000,0.8000
2,0,1.000000e-03,0.50,0.0000,0.0000,0.0000,1.0000
2,0,1.000000e-03,0.75,0.0000,0.0000,0.0000,1.0000
2,0,1.000000e-04,0.50,0.0000,0.0000,0.0000,0.8000
2,0,1.000000e-04,0.75,0.0000,0.0000,0.0000,1.0000
3,-10,1.000000e-02,0.50,0.0000,6.0000,0.0000,0.0000
3,-10,1.000000e-02,0.75,0.0000,0.0000,0.0000,0.8000
3,-10,1.000000e-03,0.50,0.0000,0.0000,0.0000,1.0000
3,-10,1.000000e-03,0.75,0.0000,0.0000,0.0000,1.0000
3,-10,1.000000e-04,0.50,0.0000,0.0000,0.0000,1.0000
3,-10,1.000000e-04,0.75,0.0000,0.0000,0.0000,1.0000
3,0,1.000000e-02,0.50,0.0000,8.0000,0.0000,0.0000
3,0,1.000000e-02,0.75,0.0000,0.0000,0.0000,0.6000
3,0,1.000000e-03,0.50,0.0000,0.0000,0.0000,1.0000
3,0,1.000000e-03,0.75,0.0000,0.0000,0.0000,1.0000
3,0,1.000000e-04,0.50,0.0000,0.0000,0.0000,1.0000
3,0,1.000000e-04,0.75,0.0000,0.0000,0.0000,1.0000
