Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S0_Static,C,NORMAL,m_reliability,0.850901,0.856256,0.833859,0.866008
S0_Static,C,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S0_Static,C,NORMAL,R_vb,0.317085,0.282978,0.115604,0.535378
S0_Static,C,NORMAL,R_eff,0.317085,0.282978,0.115604,0.535378
S0_Static,C,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S0_Static,C,NORMAL,K_delay,0.666168,0.677829,0.490888,0.826774
S0_Static,C,NORMAL,Q11,0.335939,0.352668,0.101171,0.530479
S0_Static,C,NORMAL,Q22,0.002033,0.001957,0.001513,0.002770
S0_Static,C,NORMAL,tracking_error,0.256353,0.254523,-0.235091,0.757335
S0_Static,E,NORMAL,m_reliability,0.850126,0.854401,0.833637,0.865638
S0_Static,E,NORMAL,Lambda,1.374274,1.360000,1.325831,1.426673
S0_Static,E,NORMAL,R_vb,0.453378,0.476723,0.296232,0.556412
S0_Static,E,NORMAL,R_eff,0.622791,0.655194,0.406861,0.767596
S0_Static,E,NORMAL,R_eff_R_vb,1.374274,1.360000,1.325831,1.426673
S0_Static,E,NORMAL,K_delay,0.563373,0.537696,0.407458,0.746779
S0_Static,E,NORMAL,Q11,0.291347,0.226348,0.116330,0.572163
S0_Static,E,NORMAL,Q22,0.022033,0.007998,0.001474,0.069471
S0_Static,E,NORMAL,tracking_error,0.218627,0.215011,-0.206794,0.638401
S0_Static,E-VB-only,NORMAL,m_reliability,0.845131,0.848927,0.832363,0.865299
S0_Static,E-VB-only,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S0_Static,E-VB-only,NORMAL,R_vb,0.152824,0.143331,0.111488,0.183889
S0_Static,E-VB-only,NORMAL,R_eff,0.152824,0.143331,0.111488,0.183889
S0_Static,E-VB-only,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S0_Static,E-VB-only,NORMAL,K_delay,0.912490,0.929083,0.870500,0.953412
S0_Static,E-VB-only,NORMAL,Q11,1.345005,1.342999,0.593098,2.062642
S0_Static,E-VB-only,NORMAL,Q22,0.061378,0.049070,0.022758,0.119555
S0_Static,E-VB-only,NORMAL,tracking_error,0.224542,0.221672,-0.581032,1.059758
S0_Static,E-CAL,NORMAL,rho_raw,0.846914,0.840205,0.801088,0.891332
S0_Static,E-CAL,NORMAL,rho_relative,0.976949,0.998646,0.940317,1.000000
S0_Static,E-CAL,NORMAL,m_reliability,0.976739,0.993115,0.906129,1.000000
S0_Static,E-CAL,NORMAL,Lambda,1.027490,1.010446,1.000000,1.054868
S0_Static,E-CAL,NORMAL,R_vb,0.172074,0.163728,0.124917,0.214878
