Scenario,Variant,RMSE_Median,RMSE_Mean,m_Median,Reff_Rvb_Median,ValidTrials,BER_Mean
S0_Static,C,0.4503,0.4487,0.8563,1.0000,50,0.000000
S0_Static,E,0.3929,0.3854,0.8544,1.3600,50,0.000000
S0_Static,E-VB-only,0.6477,0.6382,0.8489,1.0000,50,0.000000
S0_Static,E-CAL,0.6321,0.6199,0.9931,1.0104,50,0.000000
S1_Warp,C,0.5392,0.5404,0.8688,1.0000,50,0.000000
S1_Warp,E,2.3144,2.3153,0.8687,1.3168,50,0.000000
S1_Warp,E-VB-only,0.7313,0.7297,0.8621,1.0000,50,0.000000
S1_Warp,E-CAL,0.6859,0.6897,0.9769,1.0387,50,0.000000
S2_Fade,C,0.4271,0.4358,0.8521,1.0000,50,0.000000
S2_Fade,E,0.3518,0.3643,0.8496,1.3752,50,0.000000
S2_Fade,E-VB-only,0.6406,0.6478,0.8483,1.0000,50,0.000000
S2_Fade,E-CAL,0.5803,0.5794,0.9838,1.0115,50,0.000000
S3_Warp_Fade,C,0.5381,0.5366,0.8697,1.0000,50,0.000000
S3_Warp_Fade,E,2.3340,2.3283,0.8687,1.3168,50,0.000000
S3_Warp_Fade,E-VB-only,0.7200,0.7263,0.8592,1.0000,50,0.000000
S3_Warp_Fade,E-CAL,0.6633,0.6589,0.9710,1.0302,50,0.000000
