Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S0_Static,C,NORMAL,R_vb,0.317085,0.282978,0.115604,0.535378
S0_Static,C,NORMAL,R_eff,0.317085,0.282978,0.115604,0.535378
S0_Static,C,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S0_Static,C,NORMAL,K_delay,0.666168,0.677829,0.490888,0.826774
S0_Static,C,NORMAL,Q11,0.335939,0.352668,0.101171,0.530479
S0_Static,C,NORMAL,Q22,0.002033,0.001957,0.001513,0.002770
S0_Static,C,NORMAL,abs_innovation,0.774647,0.583803,0.337921,1.430451
S0_Static,C,NORMAL,NIS,0.961856,0.398514,0.123250,2.387832
S0_Static,C,NORMAL,directional_consistency,0.219657,0.217380,0.104047,0.318057
S0_Static,C,NORMAL,coherent_fraction,0.046490,0.038249,0.008023,0.078775
S0_Static,C,NORMAL,tracking_error,0.256353,0.254523,-0.235091,0.757335
S0_Static,E,NORMAL,R_vb,0.453378,0.476723,0.296232,0.556412
S0_Static,E,NORMAL,R_eff,0.622791,0.655194,0.406861,0.767596
S0_Static,E,NORMAL,R_eff_R_vb,1.374274,1.360000,1.325831,1.426673
S0_Static,E,NORMAL,K_delay,0.563373,0.537696,0.407458,0.746779
S0_Static,E,NORMAL,Q11,0.291347,0.226348,0.116330,0.572163
S0_Static,E,NORMAL,Q22,0.022033,0.007998,0.001474,0.069471
S0_Static,E,NORMAL,abs_innovation,0.777867,0.585006,0.337497,1.436649
S0_Static,E,NORMAL,NIS,0.576228,0.236436,0.077403,1.512664
S0_Static,E,NORMAL,directional_consistency,0.206676,0.209787,0.093054,0.301927
S0_Static,E,NORMAL,coherent_fraction,0.039065,0.035129,0.006344,0.072057
S0_Static,E,NORMAL,tracking_error,0.218627,0.215011,-0.206794,0.638401
S0_Static,EQ0,NORMAL,R_vb,0.172074,0.163728,0.124917,0.214878
S0_Static,EQ0,NORMAL,R_eff,0.176661,0.168351,0.126973,0.220315
S0_Static,EQ0,NORMAL,R_eff_R_vb,1.027490,1.010446,1.000000,1.054868
S0_Static,EQ0,NORMAL,K_delay,0.898983,0.914506,0.853397,0.943091
S0_Static,EQ0,NORMAL,Q11,1.268892,1.273265,0.573420,1.914805
S0_Static,EQ0,NORMAL,Q22,0.059956,0.048577,0.020486,0.118002
