Scenario,Variant,RMSE_Median,RMSE_Mean,Bias_Median,ValidRate,BER_Mean
S0_Static,C,0.4503,0.4487,0.2692,1.0000,0.000000
S0_Static,E,0.3929,0.3854,0.2515,1.0000,0.000000
S0_Static,EQ0,0.6321,0.6199,0.2299,1.0000,0.000000
S0_Static,EQ1,0.3065,0.3023,0.2049,1.0000,0.000000
S0_Static,EQ2,0.4733,0.4515,0.2736,1.0000,0.000000
S0_Static,EQ3,0.5693,0.5570,0.2595,1.0000,0.000000
S1_Warp,C,0.5392,0.5404,-0.4119,1.0000,0.000000
S1_Warp,E,2.3144,2.3153,-2.2956,1.0000,0.000000
S1_Warp,EQ0,0.6859,0.6897,-0.4162,1.0000,0.000000
S1_Warp,EQ1,0.4840,0.4818,-0.4204,1.0000,0.000000
S1_Warp,EQ2,0.6204,0.6185,-0.4286,1.0000,0.000000
S1_Warp,EQ3,0.6761,0.6714,-0.4296,1.0000,0.000000
S2_Fade,C,0.4271,0.4358,0.2293,1.0000,0.000000
S2_Fade,E,0.3518,0.3643,0.1889,1.0000,0.000000
S2_Fade,EQ0,0.5803,0.5794,0.2195,1.0000,0.000000
S2_Fade,EQ1,0.2733,0.2826,0.1610,1.0000,0.000000
S2_Fade,EQ2,0.4267,0.4295,0.2394,1.0000,0.000000
S2_Fade,EQ3,0.5099,0.5118,0.2384,1.0000,0.000000
S3_Warp_Fade,C,0.5381,0.5366,-0.4030,1.0000,0.000000
S3_Warp_Fade,E,2.3340,2.3283,-2.3155,1.0000,0.000000
S3_Warp_Fade,EQ0,0.6633,0.6589,-0.4320,1.0000,0.000000
S3_Warp_Fade,EQ1,0.4726,0.4716,-0.4094,1.0000,0.000000
S3_Warp_Fade,EQ2,0.5973,0.5930,-0.4280,1.0000,0.000000
S3_Warp_Fade,EQ3,0.6299,0.6229,-0.4079,1.0000,0.000000
