Profile,SNR_dB,Variant,ValidTrials,MeanBER
1,-22,C,20,0.396667
1,-21,C,20,0.406250
1,-20,C,20,0.283333
1,-19,C,20,0.247917
1,-18,C,20,0.139167
1,-17,C,20,0.087500
1,-16,C,20,0.022917
1,-15,C,20,0.052083
1,-14,C,20,0.001667
1,-13,C,20,0.001667
1,-12,C,20,0.000000
1,-11,C,20,0.000000
1,-10,C,20,0.000000
1,-9,C,20,0.000000
1,-8,C,20,0.000000
1,-22,E,20,0.302917
1,-21,E,20,0.235417
1,-20,E,20,0.207917
1,-19,E,20,0.165833
1,-18,E,20,0.092083
1,-17,E,20,0.062917
1,-16,E,20,0.012917
1,-15,E,20,0.009583
1,-14,E,20,0.000833
1,-13,E,20,0.000833
1,-12,E,20,0.000000
1,-11,E,20,0.000000
1,-10,E,20,0.000000
1,-9,E,20,0.000000
1,-8,E,20,0.000000
2,-22,C,13,0.480128
2,-21,C,19,0.440789
2,-20,C,20,0.433333
2,-19,C,20,0.319583
2,-18,C,20,0.285417
2,-17,C,20,0.285417
2,-16,C,20,0.129167
2,-15,C,20,0.151667
2,-14,C,20,0.052083
2,-13,C,20,0.086250
2,-12,C,20,0.049167
2,-11,C,20,0.000417
2,-10,C,20,0.000000
2,-9,C,20,0.000417
2,-8,C,20,0.000000
2,-22,E,13,0.390385
2,-21,E,19,0.339474
2,-20,E,20,0.272500
2,-19,E,20,0.234583
2,-18,E,20,0.197917
2,-17,E,20,0.188333
2,-16,E,20,0.129167
2,-15,E,20,0.067500
2,-14,E,20,0.019583
2,-13,E,20,0.008333
2,-12,E,20,0.000833
2,-11,E,20,0.000000
2,-10,E,20,0.000000
2,-9,E,20,0.000000
2,-8,E,20,0.000000
3,-22,C,18,0.356481
3,-21,C,20,0.297917
3,-20,C,20,0.311667
3,-19,C,20,0.193333
3,-18,C,20,0.125417
3,-17,C,20,0.052083
3,-16,C,20,0.055000
3,-15,C,20,0.033333
3,-14,C,20,0.030833
3,-13,C,20,0.000000
3,-12,C,20,0.000000
3,-11,C,20,0.000000
3,-10,C,20,0.000000
3,-9,C,20,0.000000
3,-8,C,20,0.000000
3,-22,E,18,0.206944
3,-21,E,20,0.202083
3,-20,E,20,0.160000
3,-19,E,20,0.148750
3,-18,E,20,0.061667
3,-17,E,20,0.034583
3,-16,E,20,0.006667
3,-15,E,20,0.000833
3,-14,E,20,0.000417
3,-13,E,20,0.000000
3,-12,E,20,0.000000
3,-11,E,20,0.000000
3,-10,E,20,0.000000
3,-9,E,20,0.000000
3,-8,E,20,0.000000
