Profile,SNR_dB,Variant,ValidTrials,MeanBER,SyncFailRate
1,-22,C,20,0.369167,0.000000
1,-21,C,20,0.370833,0.000000
1,-20,C,20,0.307083,0.000000
1,-19,C,20,0.212917,0.000000
1,-18,C,20,0.169167,0.000000
1,-17,C,20,0.064583,0.000000
1,-16,C,20,0.018750,0.000000
1,-15,C,20,0.053750,0.000000
1,-14,C,20,0.027917,0.000000
1,-13,C,20,0.000000,0.000000
1,-12,C,20,0.002500,0.000000
1,-11,C,20,0.000417,0.000000
1,-10,C,20,0.000000,0.000000
1,-9,C,20,0.000000,0.000000
1,-8,C,20,0.000000,0.000000
1,-22,E-CAL,20,0.398333,0.000000
1,-21,E-CAL,20,0.388333,0.000000
1,-20,E-CAL,20,0.267917,0.000000
1,-19,E-CAL,20,0.277083,0.000000
1,-18,E-CAL,20,0.218333,0.000000
1,-17,E-CAL,20,0.053750,0.000000
1,-16,E-CAL,20,0.045417,0.000000
1,-15,E-CAL,20,0.018750,0.000000
1,-14,E-CAL,20,0.002500,0.000000
1,-13,E-CAL,20,0.001250,0.000000
1,-12,E-CAL,20,0.000417,0.000000
1,-11,E-CAL,20,0.000000,0.000000
1,-10,E-CAL,20,0.000000,0.000000
1,-9,E-CAL,20,0.000000,0.000000
1,-8,E-CAL,20,0.000000,0.000000
2,-22,C,15,0.468889,0.250000
2,-21,C,18,0.441667,0.100000
2,-20,C,20,0.389167,0.000000
2,-19,C,20,0.392500,0.000000
2,-18,C,20,0.304167,0.000000
2,-17,C,20,0.283750,0.000000
2,-16,C,20,0.195417,0.000000
2,-15,C,20,0.111667,0.000000
2,-14,C,20,0.139583,0.000000
2,-13,C,20,0.050000,0.000000
2,-12,C,20,0.030000,0.000000
2,-11,C,20,0.025000,0.000000
2,-10,C,20,0.000833,0.000000
2,-9,C,20,0.000000,0.000000
2,-8,C,20,0.000000,0.000000
2,-22,E-CAL,15,0.495000,0.250000
2,-21,E-CAL,18,0.456944,0.100000
2,-20,E-CAL,20,0.414583,0.000000
2,-19,E-CAL,20,0.381250,0.000000
2,-18,E-CAL,20,0.350833,0.000000
2,-17,E-CAL,20,0.247917,0.000000
2,-16,E-CAL,20,0.211250,0.000000
2,-15,E-CAL,20,0.062500,0.000000
2,-14,E-CAL,20,0.094583,0.000000
2,-13,E-CAL,20,0.034583,0.000000
2,-12,E-CAL,20,0.025833,0.000000
2,-11,E-CAL,20,0.035000,0.000000
2,-10,E-CAL,20,0.003333,0.000000
2,-9,E-CAL,20,0.000000,0.000000
2,-8,E-CAL,20,0.000000,0.000000
3,-22,C,19,0.340351,0.050000
3,-21,C,20,0.266250,0.000000
3,-20,C,20,0.272917,0.000000
3,-19,C,20,0.180833,0.000000
3,-18,C,20,0.161667,0.000000
3,-17,C,20,0.050000,0.000000
3,-16,C,20,0.011250,0.000000
3,-15,C,20,0.024167,0.000000
3,-14,C,20,0.002500,0.000000
3,-13,C,20,0.000833,0.000000
3,-12,C,20,0.000000,0.000000
3,-11,C,20,0.000000,0.000000
3,-10,C,20,0.000000,0.000000
3,-9,C,20,0.000000,0.000000
3,-8,C,20,0.000000,0.000000
3,-22,E-CAL,19,0.400000,0.050000
3,-21,E-CAL,20,0.351250,0.000000
3,-20,E-CAL,20,0.306667,0.000000
3,-19,E-CAL,20,0.192500,0.000000
3,-18,E-CAL,20,0.224167,0.000000
3,-17,E-CAL,20,0.077083,0.000000
3,-16,E-CAL,20,0.015417,0.000000
3,-15,E-CAL,20,0.012500,0.000000
3,-14,E-CAL,20,0.004167,0.000000
3,-13,E-CAL,20,0.002500,0.000000
3,-12,E-CAL,20,0.000833,0.000000
3,-11,E-CAL,20,0.000000,0.000000
3,-10,E-CAL,20,0.000000,0.000000
3,-9,E-CAL,20,0.000000,0.000000
3,-8,E-CAL,20,0.000000,0.000000
