Profile,SNR_dB,Frontend,ChannelEstNMSE,RMSDelaySpread,MainTapConcentration,ResidualISIFraction,PSLR,NoiseEnhancement
1,0,NO-EQ,NaN,2.9312,0.6331,0.3669,-2.86,1.0000
1,0,PRACTICAL-EQ,0.660162,2.9312,0.5057,0.4943,-3.37,0.4390
1,0,ORACLE-EQ,NaN,2.9312,0.7359,0.2641,-6.87,0.2586
1,15,NO-EQ,NaN,2.9312,0.6331,0.3669,-2.86,1.0000
1,15,PRACTICAL-EQ,0.504860,2.9312,0.5790,0.4210,-2.69,0.9269
1,15,ORACLE-EQ,NaN,2.9312,0.8042,0.1958,-9.59,1.4019
2,0,NO-EQ,NaN,71.9920,0.5074,0.4926,-0.13,1.0000
2,0,PRACTICAL-EQ,0.797038,71.9920,0.3534,0.6466,-0.68,0.4613
2,0,ORACLE-EQ,NaN,71.9920,0.6667,0.3333,-5.97,0.1937
2,15,NO-EQ,NaN,71.9920,0.5074,0.4926,-0.13,1.0000
2,15,PRACTICAL-EQ,0.618319,71.9920,0.4893,0.5107,-0.60,1.8211
2,15,ORACLE-EQ,NaN,71.9920,0.6668,0.3332,-5.90,0.4302
3,0,NO-EQ,NaN,6.4468,0.9946,0.0054,-22.66,1.0000
3,0,PRACTICAL-EQ,0.681654,6.4468,0.7163,0.2837,-5.64,0.5368
3,0,ORACLE-EQ,NaN,6.4468,0.9937,0.0063,-22.68,0.3404
3,15,NO-EQ,NaN,6.4468,0.9946,0.0054,-22.66,1.0000
3,15,PRACTICAL-EQ,0.424286,6.4468,0.9591,0.0409,-22.66,1.3079
3,15,ORACLE-EQ,NaN,6.4468,0.9946,0.0054,-22.66,0.9473
