Profile,SNR_dB,Scenario,Frontend,Tracker,ValidRate,RMSE_Median,RMSE_Mean,BER,SyncFailRate
1,0,S0_Static,NO-EQ,A,1.0000,0.5172,0.5644,0.000000,0.0000
1,0,S0_Static,NO-EQ,VB-FQ,1.0000,0.4513,0.4695,0.000000,0.0000
1,0,S0_Static,NO-EQ,E-FQ,1.0000,0.4450,0.4678,0.000000,0.0000
1,0,S0_Static,PRACTICAL-EQ,A,1.0000,0.4488,0.4912,0.000000,0.0000
1,0,S0_Static,PRACTICAL-EQ,VB-FQ,1.0000,0.3537,0.4122,0.000000,0.0000
1,0,S0_Static,PRACTICAL-EQ,E-FQ,1.0000,0.3601,0.4019,0.000000,0.0000
1,0,S3_Warp_Fade,NO-EQ,A,1.0000,0.6011,0.6177,0.004167,0.0000
1,0,S3_Warp_Fade,NO-EQ,VB-FQ,1.0000,0.5241,0.5547,0.003333,0.0000
1,0,S3_Warp_Fade,NO-EQ,E-FQ,1.0000,0.4772,0.4880,0.003056,0.0000
1,0,S3_Warp_Fade,PRACTICAL-EQ,A,1.0000,0.4575,0.4685,0.003889,0.0000
1,0,S3_Warp_Fade,PRACTICAL-EQ,VB-FQ,1.0000,0.3719,0.3781,0.003611,0.0000
1,0,S3_Warp_Fade,PRACTICAL-EQ,E-FQ,1.0000,0.3143,0.3247,0.004167,0.0000
1,15,S0_Static,NO-EQ,A,1.0000,0.4254,0.4354,0.000000,0.0000
1,15,S0_Static,NO-EQ,VB-FQ,1.0000,0.2627,0.2979,0.000000,0.0000
1,15,S0_Static,NO-EQ,E-FQ,1.0000,0.2587,0.2975,0.000000,0.0000
1,15,S0_Static,PRACTICAL-EQ,A,1.0000,0.5037,0.5225,0.000000,0.0000
1,15,S0_Static,PRACTICAL-EQ,VB-FQ,1.0000,0.4534,0.4619,0.000000,0.0000
1,15,S0_Static,PRACTICAL-EQ,E-FQ,1.0000,0.4464,0.4629,0.000000,0.0000
1,15,S3_Warp_Fade,NO-EQ,A,1.0000,0.5304,0.5291,0.000000,0.0000
1,15,S3_Warp_Fade,NO-EQ,VB-FQ,1.0000,0.4790,0.4758,0.000000,0.0000
1,15,S3_Warp_Fade,NO-EQ,E-FQ,1.0000,0.4662,0.4670,0.000000,0.0000
1,15,S3_Warp_Fade,PRACTICAL-EQ,A,1.0000,0.6228,0.6018,0.000000,0.0000
1,15,S3_Warp_Fade,PRACTICAL-EQ,VB-FQ,1.0000,0.5814,0.5588,0.000000,0.0000
1,15,S3_Warp_Fade,PRACTICAL-EQ,E-FQ,1.0000,0.5821,0.5480,0.000000,0.0000
2,0,S0_Static,NO-EQ,A,1.0000,0.4922,0.5830,0.000000,0.0000
2,0,S0_Static,NO-EQ,VB-FQ,1.0000,0.4181,0.5373,0.000000,0.0000
2,0,S0_Static,NO-EQ,E-FQ,1.0000,0.4320,0.5335,0.000000,0.0000
2,0,S0_Static,PRACTICAL-EQ,A,1.0000,0.4933,0.5374,0.000000,0.0000
2,0,S0_Static,PRACTICAL-EQ,VB-FQ,1.0000,0.4813,0.4945,0.000000,0.0000
2,0,S0_Static,PRACTICAL-EQ,E-FQ,1.0000,0.4828,0.4905,0.000000,0.0000
2,0,S3_Warp_Fade,NO-EQ,A,1.0000,0.5386,0.5830,0.007778,0.0000
2,0,S3_Warp_Fade,NO-EQ,VB-FQ,1.0000,0.4335,0.4675,0.008333,0.0000
2,0,S3_Warp_Fade,NO-EQ,E-FQ,1.0000,0.3748,0.4068,0.006667,0.0000
2,0,S3_Warp_Fade,PRACTICAL-EQ,A,1.0000,0.8982,0.8888,0.003889,0.0000
2,0,S3_Warp_Fade,PRACTICAL-EQ,VB-FQ,1.0000,0.8575,0.8551,0.003889,0.0000
2,0,S3_Warp_Fade,PRACTICAL-EQ,E-FQ,1.0000,0.8400,0.8075,0.003611,0.0000
2,15,S0_Static,NO-EQ,A,1.0000,0.3282,0.3438,0.000000,0.0000
2,15,S0_Static,NO-EQ,VB-FQ,1.0000,0.2921,0.3183,0.000000,0.0000
2,15,S0_Static,NO-EQ,E-FQ,1.0000,0.2628,0.2960,0.000000,0.0000
2,15,S0_Static,PRACTICAL-EQ,A,1.0000,0.3554,0.3867,0.000000,0.0000
2,15,S0_Static,PRACTICAL-EQ,VB-FQ,1.0000,0.2998,0.3316,0.000000,0.0000
2,15,S0_Static,PRACTICAL-EQ,E-FQ,1.0000,0.2652,0.3085,0.000000,0.0000
2,15,S3_Warp_Fade,NO-EQ,A,1.0000,0.3971,0.3991,0.000000,0.0000
2,15,S3_Warp_Fade,NO-EQ,VB-FQ,1.0000,0.3159,0.3194,0.000000,0.0000
2,15,S3_Warp_Fade,NO-EQ,E-FQ,1.0000,0.3122,0.3130,0.000000,0.0000
2,15,S3_Warp_Fade,PRACTICAL-EQ,A,1.0000,0.3783,0.3762,0.000000,0.0000
2,15,S3_Warp_Fade,PRACTICAL-EQ,VB-FQ,1.0000,0.2678,0.2704,0.000000,0.0000
2,15,S3_Warp_Fade,PRACTICAL-EQ,E-FQ,1.0000,0.2610,0.2611,0.000000,0.0000
3,0,S0_Static,NO-EQ,A,1.0000,0.4543,0.5126,0.000000,0.0000
3,0,S0_Static,NO-EQ,VB-FQ,1.0000,0.3871,0.4748,0.000000,0.0000
3,0,S0_Static,NO-EQ,E-FQ,1.0000,0.3939,0.4774,0.000000,0.0000
3,0,S0_Static,PRACTICAL-EQ,A,1.0000,0.4472,0.4659,0.000000,0.0000
3,0,S0_Static,PRACTICAL-EQ,VB-FQ,1.0000,0.3665,0.4046,0.000000,0.0000
3,0,S0_Static,PRACTICAL-EQ,E-FQ,1.0000,0.3571,0.3989,0.000000,0.0000
3,0,S3_Warp_Fade,NO-EQ,A,1.0000,0.4501,0.4559,0.001667,0.0000
3,0,S3_Warp_Fade,NO-EQ,VB-FQ,1.0000,0.3497,0.3564,0.001944,0.0000
