Channel,SNR_dB,Variant,Trials_Valid,SyncFailRate,FER_Overall,FER_Valid,BER_Valid
1,-20,IAE,30,0.0000,1.0000,1.0000,0.291944
1,-20,VB-FQ,30,0.0000,1.0000,1.0000,0.321389
1,-20,E-FQ,30,0.0000,1.0000,1.0000,0.331111
2,-20,IAE,30,0.0000,1.0000,1.0000,0.381389
2,-20,VB-FQ,30,0.0000,1.0000,1.0000,0.350278
2,-20,E-FQ,30,0.0000,1.0000,1.0000,0.383333
3,-20,IAE,30,0.0000,1.0000,1.0000,0.284722
3,-20,VB-FQ,30,0.0000,1.0000,1.0000,0.275556
3,-20,E-FQ,30,0.0000,1.0000,1.0000,0.305556
1,-19,IAE,30,0.0000,1.0000,1.0000,0.191111
1,-19,VB-FQ,30,0.0000,1.0000,1.0000,0.195833
1,-19,E-FQ,30,0.0000,1.0000,1.0000,0.214722
2,-19,IAE,30,0.0000,1.0000,1.0000,0.385556
2,-19,VB-FQ,30,0.0000,1.0000,1.0000,0.363889
2,-19,E-FQ,30,0.0000,1.0000,1.0000,0.405556
3,-19,IAE,30,0.0000,1.0000,1.0000,0.128056
3,-19,VB-FQ,30,0.0000,1.0000,1.0000,0.143889
3,-19,E-FQ,30,0.0000,1.0000,1.0000,0.180278
1,-18,IAE,30,0.0000,1.0000,1.0000,0.200278
1,-18,VB-FQ,30,0.0000,1.0000,1.0000,0.156944
1,-18,E-FQ,30,0.0000,1.0000,1.0000,0.194444
2,-18,IAE,30,0.0000,1.0000,1.0000,0.316667
2,-18,VB-FQ,30,0.0000,1.0000,1.0000,0.306667
2,-18,E-FQ,30,0.0000,1.0000,1.0000,0.325833
3,-18,IAE,30,0.0000,0.9667,0.9667,0.143889
3,-18,VB-FQ,30,0.0000,1.0000,1.0000,0.124167
3,-18,E-FQ,30,0.0000,1.0000,1.0000,0.128889
1,-17,IAE,30,0.0000,1.0000,1.0000,0.080278
1,-17,VB-FQ,30,0.0000,0.9667,0.9667,0.079167
1,-17,E-FQ,30,0.0000,1.0000,1.0000,0.108611
2,-17,IAE,30,0.0000,1.0000,1.0000,0.287222
2,-17,VB-FQ,30,0.0000,1.0000,1.0000,0.251944
2,-17,E-FQ,30,0.0000,1.0000,1.0000,0.286667
3,-17,IAE,30,0.0000,0.9667,0.9667,0.055556
3,-17,VB-FQ,30,0.0000,0.9000,0.9000,0.070833
3,-17,E-FQ,30,0.0000,0.9000,0.9000,0.073333
1,-16,IAE,30,0.0000,0.7667,0.7667,0.056667
1,-16,VB-FQ,30,0.0000,0.6333,0.6333,0.027778
1,-16,E-FQ,30,0.0000,0.5667,0.5667,0.066111
2,-16,IAE,30,0.0000,1.0000,1.0000,0.188611
2,-16,VB-FQ,30,0.0000,1.0000,1.0000,0.176389
2,-16,E-FQ,30,0.0000,1.0000,1.0000,0.187500
3,-16,IAE,30,0.0000,0.6333,0.6333,0.027222
3,-16,VB-FQ,30,0.0000,0.5667,0.5667,0.025000
3,-16,E-FQ,30,0.0000,0.6667,0.6667,0.045556
1,-15,IAE,30,0.0000,0.4333,0.4333,0.025278
1,-15,VB-FQ,30,0.0000,0.4000,0.4000,0.019444
1,-15,E-FQ,30,0.0000,0.4000,0.4000,0.019722
2,-15,IAE,30,0.0000,1.0000,1.0000,0.100833
2,-15,VB-FQ,30,0.0000,0.9667,0.9667,0.113611
2,-15,E-FQ,30,0.0000,0.9333,0.9333,0.144722
3,-15,IAE,30,0.0000,0.4000,0.4000,0.020000
3,-15,VB-FQ,30,0.0000,0.3333,0.3333,0.004167
3,-15,E-FQ,30,0.0000,0.3333,0.3333,0.032222
1,-14,IAE,30,0.0000,0.1667,0.1667,0.017778
1,-14,VB-FQ,30,0.0000,0.1333,0.1333,0.001667
1,-14,E-FQ,30,0.0000,0.2000,0.2000,0.001944
2,-14,IAE,30,0.0000,0.8333,0.8333,0.072778
2,-14,VB-FQ,30,0.0000,0.8667,0.8667,0.076389
2,-14,E-FQ,30,0.0000,0.7333,0.7333,0.116944
3,-14,IAE,30,0.0000,0.1667,0.1667,0.018333
3,-14,VB-FQ,30,0.0000,0.0667,0.0667,0.019722
3,-14,E-FQ,30,0.0000,0.1000,0.1000,0.020278
1,-13,IAE,30,0.0000,0.0667,0.0667,0.000556
1,-13,VB-FQ,30,0.0000,0.0667,0.0667,0.000556
1,-13,E-FQ,30,0.0000,0.0667,0.0667,0.000833
2,-13,IAE,30,0.0000,0.5000,0.5000,0.026389
2,-13,VB-FQ,30,0.0000,0.5333,0.5333,0.038889
2,-13,E-FQ,30,0.0000,0.6333,0.6333,0.058333
3,-13,IAE,30,0.0000,0.0333,0.0333,0.000556
3,-13,VB-FQ,30,0.0000,0.0667,0.0667,0.000833
3,-13,E-FQ,30,0.0000,0.0667,0.0667,0.000833
1,-12,IAE,30,0.0000,0.0667,0.0667,0.001111
1,-12,VB-FQ,30,0.0000,0.0333,0.0333,0.000278
1,-12,E-FQ,30,0.0000,0.0333,0.0333,0.000278
2,-12,IAE,30,0.0000,0.3333,0.3333,0.005833
2,-12,VB-FQ,30,0.0000,0.2667,0.2667,0.017778
2,-12,E-FQ,30,0.0000,0.2667,0.2667,0.020000
3,-12,IAE,30,0.0000,0.0333,0.0333,0.000278
3,-12,VB-FQ,30,0.0000,0.0333,0.0333,0.000278
3,-12,E-FQ,30,0.0000,0.0333,0.0333,0.000278
1,-11,IAE,30,0.0000,0.0000,0.0000,0.000000
1,-11,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-11,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-11,IAE,30,0.0000,0.2667,0.2667,0.018611
2,-11,VB-FQ,30,0.0000,0.1000,0.1000,0.019444
2,-11,E-FQ,30,0.0000,0.1000,0.1000,0.017500
3,-11,IAE,30,0.0000,0.0333,0.0333,0.000556
3,-11,VB-FQ,30,0.0000,0.0333,0.0333,0.000278
3,-11,E-FQ,30,0.0000,0.0333,0.0333,0.000278
1,-10,IAE,30,0.0000,0.0000,0.0000,0.000000
1,-10,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-10,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-10,IAE,30,0.0000,0.0333,0.0333,0.000278
2,-10,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
