ProfileID,ProfileDescription,Variant,SNR_dB,FER_Overall,FER_Wilson_Lower,FER_Wilson_Upper
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-16,0.774,0.758689,0.788611
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-15,0.459,0.441232,0.476873
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-14,0.2087,0.194503,0.223576
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-13,0.0743,0.065481,0.084274
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-12,0.0237,0.018806,0.029746
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-11,0.0047,0.002782,0.007818
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-10,0.0013,0.000519,0.003424
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-16,0.718,0.701627,0.733815
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-15,0.3923,0.375009,0.409933
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-14,0.1627,0.149893,0.176303
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-13,0.0537,0.046158,0.062317
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-12,0.018,0.013822,0.023411
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-11,0.0073,0.004848,0.011079
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-10,0.002,0.000917,0.004357
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-16,0.72,0.703659,0.735778
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-15,0.4037,0.386244,0.421336
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-14,0.1717,0.158595,0.185578
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-13,0.061,0.052984,0.070139
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-12,0.018,0.013822,0.023411
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-11,0.0077,0.005114,0.011478
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-10,0.0027,0.001352,0.005254
P2,Profile P2: Tx15m / 20km / Rx3467m,IAE,-16,0.999,0.997064,0.99966
P2,Profile P2: Tx15m / 20km / Rx3467m,IAE,-15,0.98,0.974342,0.98443
P2,Profile P2: Tx15m / 20km / Rx3467m,IAE,-14,0.8707,0.858183,0.882202
