ProfileID,ProfileDescription,Variant,SNR_dB,BER_Valid,BER_Wilson_Lower,BER_Wilson_Upper
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-16,0.056892,0.05614,0.057653
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-15,0.024239,0.023742,0.024746
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-14,0.009531,0.009218,0.009853
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-13,0.003422,0.003237,0.003618
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-12,0.001072,0.000971,0.001185
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-11,0.000222,0.000179,0.000277
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-10,1.7e-05,8e-06,3.6e-05
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-16,0.047608,0.046918,0.048309
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-15,0.023561,0.023071,0.024062
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-14,0.007919,0.007635,0.008214
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-13,0.002392,0.002237,0.002557
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-12,0.000956,0.00086,0.001062
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-11,0.000556,0.000484,0.000638
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-10,3.9e-05,2.3e-05,6.5e-05
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-16,0.063947,0.063153,0.064751
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-15,0.032981,0.032402,0.033569
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-14,0.014258,0.013876,0.014651
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-13,0.004992,0.004767,0.005227
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-12,0.0024,0.002245,0.002565
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-11,0.001011,0.000912,0.00112
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,-10,0.000603,0.000528,0.000688
P2,Profile P2: Tx15m / 20km / Rx3467m,IAE,-16,0.194561,0.193271,0.195858
P2,Profile P2: Tx15m / 20km / Rx3467m,IAE,-15,0.124231,0.123157,0.125312
P2,Profile P2: Tx15m / 20km / Rx3467m,IAE,-14,0.078558,0.077684,0.079442
P2,Profile P2: Tx15m / 20km / Rx3467m,IAE,-13,0.042156,0.041504,0.042817
P2,Profile P2: Tx15m / 20km / Rx3467m,IAE,-12,0.020189,0.019735,0.020653
P2,Profile P2: Tx15m / 20km / Rx3467m,IAE,-11,0.006333,0.006079,0.006598
P2,Profile P2: Tx15m / 20km / Rx3467m,IAE,-10,0.001878,0.001742,0.002025
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-16,0.169689,0.168466,0.170919
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-15,0.114264,0.113229,0.115307
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-14,0.065467,0.064663,0.066279
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-13,0.03645,0.035843,0.037067
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-12,0.016211,0.015804,0.016629
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-11,0.006125,0.005875,0.006385
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-10,0.002431,0.002275,0.002597
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-16,0.193961,0.192673,0.195256
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-15,0.139953,0.138823,0.14109
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-14,0.087631,0.086711,0.088559
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-13,0.049964,0.049257,0.05068
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-12,0.024736,0.024234,0.025249
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-11,0.010669,0.010339,0.01101
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-10,0.004317,0.004108,0.004536
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-16,0.045481,0.044805,0.046166
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-15,0.023242,0.022755,0.023739
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-14,0.010869,0.010536,0.011213
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-13,0.003203,0.003023,0.003393
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-12,0.0012,0.001092,0.001319
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-11,0.000428,0.000365,0.000501
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-10,3.3e-05,1.9e-05,5.8e-05
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-16,0.036742,0.036132,0.037361
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-15,0.017011,0.016594,0.017439
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-14,0.0075,0.007223,0.007787
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-13,0.002461,0.002304,0.002628
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-12,0.000681,0.000601,0.000771
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-11,0.000217,0.000174,0.00027
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-10,1.4e-05,6e-06,3.3e-05
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-16,0.05535,0.054608,0.056102
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-15,0.027042,0.026517,0.027577
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-14,0.011439,0.011097,0.011792
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-13,0.004256,0.004048,0.004474
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-12,0.00165,0.001523,0.001788
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-11,0.000339,0.000284,0.000405
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-10,0.000378,0.000319,0.000447
