ProfileID,ProfileDescription,Variant,SNR_dB,Trials_Total,Trials_Valid,ReceiverFailCount,ReceiverFailRate,BitErrors_Valid,Bits_Valid,BER_Valid,BER_Wilson_Lower,BER_Wilson_Upper,FrameErrors_Valid,FER_Valid,FrameErrors_Overall,FER_Overall,FER_Wilson_Lower,FER_Wilson_Upper
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-16,3000,3000,0,0.0000,20481,360000,0.056892,0.056140,0.057653,2322,0.7740,2322,0.7740,0.758689,0.788611
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-15,3000,3000,0,0.0000,8726,360000,0.024239,0.023742,0.024746,1377,0.4590,1377,0.4590,0.441232,0.476873
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-14,3000,3000,0,0.0000,3431,360000,0.009531,0.009218,0.009853,626,0.2087,626,0.2087,0.194503,0.223576
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-13,3000,3000,0,0.0000,1232,360000,0.003422,0.003237,0.003618,223,0.0743,223,0.0743,0.065481,0.084274
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-12,3000,3000,0,0.0000,386,360000,0.001072,0.000971,0.001185,71,0.0237,71,0.0237,0.018806,0.029746
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-11,3000,3000,0,0.0000,80,360000,0.000222,0.000179,0.000277,14,0.0047,14,0.0047,0.002782,0.007818
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,-10,3000,3000,0,0.0000,6,360000,0.000017,0.000008,0.000036,4,0.0013,4,0.0013,0.000519,0.003424
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-16,3000,3000,0,0.0000,17139,360000,0.047608,0.046918,0.048309,2154,0.7180,2154,0.7180,0.701627,0.733815
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-15,3000,3000,0,0.0000,8482,360000,0.023561,0.023071,0.024062,1177,0.3923,1177,0.3923,0.375009,0.409933
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-14,3000,3000,0,0.0000,2851,360000,0.007919,0.007635,0.008214,488,0.1627,488,0.1627,0.149893,0.176303
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-13,3000,3000,0,0.0000,861,360000,0.002392,0.002237,0.002557,161,0.0537,161,0.0537,0.046158,0.062317
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-12,3000,3000,0,0.0000,344,360000,0.000956,0.000860,0.001062,54,0.0180,54,0.0180,0.013822,0.023411
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,-11,3000,3000,0,0.0000,200,360000,0.000556,0.000484,0.000638,22,0.0073,22,0.0073,0.004848,0.011079
