ProfileID,ProfileDescription,Comparison,Metric,N_Paired,Median_Comparator,Median_EFQ,Median_Difference,CI95_Lower,CI95_Upper,WinRate_EFQ,Median_Ratio,ReductionPercent
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ vs IAE,Overall_RMSE,3000,0.535668,0.474301,-0.059946,-0.061524,-0.058492,0.9667,0.885438,11.4562
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ vs IAE,Fade_RMSE,3000,0.550518,0.457426,-0.092713,-0.096584,-0.089508,0.8733,0.830902,16.9098
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ vs VB-FQ,Overall_RMSE,3000,0.486268,0.474301,-0.011427,-0.012494,-0.010254,0.6667,0.975389,2.4611
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ vs VB-FQ,Fade_RMSE,3000,0.500330,0.457426,-0.041220,-0.044397,-0.038264,0.7027,0.914249,8.5751
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ vs IAE,Overall_RMSE,3000,0.401994,0.313042,-0.089371,-0.090461,-0.088009,1.0000,0.778724,22.1276
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ vs IAE,Fade_RMSE,3000,0.427497,0.312653,-0.113676,-0.116495,-0.110683,0.9320,0.731356,26.8644
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ vs VB-FQ,Overall_RMSE,3000,0.323216,0.313042,-0.009549,-0.010682,-0.008653,0.6887,0.968523,3.1477
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ vs VB-FQ,Fade_RMSE,3000,0.352495,0.312653,-0.037154,-0.040576,-0.034465,0.7137,0.886972,11.3028
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ vs IAE,Overall_RMSE,3000,0.373218,0.262593,-0.110330,-0.111255,-0.109307,1.0000,0.703591,29.6409
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ vs IAE,Fade_RMSE,3000,0.382697,0.248858,-0.134345,-0.136167,-0.131835,0.9903,0.650274,34.9726
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ vs VB-FQ,Overall_RMSE,3000,0.274131,0.262593,-0.011593,-0.012296,-0.011099,0.8030,0.957910,4.2090
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ vs VB-FQ,Fade_RMSE,3000,0.288933,0.248858,-0.039100,-0.041209,-0.037387,0.8143,0.861300,13.8700
