Profile,Metric,Comparator,ComparatorMedian,EFQMedian,Ratio,ReductionPercent
Profile P1: Tx15m / 20km / Rx34m,Overall_RMSE,IAE,0.535668,0.474301,0.885438,11.4562
Profile P1: Tx15m / 20km / Rx34m,Fade_RMSE,IAE,0.550518,0.457426,0.830902,16.9098
Profile P1: Tx15m / 20km / Rx34m,Overall_RMSE,VB-FQ,0.486268,0.474301,0.975389,2.4611
Profile P1: Tx15m / 20km / Rx34m,Fade_RMSE,VB-FQ,0.500330,0.457426,0.914249,8.5751
Profile P2: Tx15m / 20km / Rx3467m,Overall_RMSE,IAE,0.401994,0.313042,0.778724,22.1276
Profile P2: Tx15m / 20km / Rx3467m,Fade_RMSE,IAE,0.427497,0.312653,0.731356,26.8644
Profile P2: Tx15m / 20km / Rx3467m,Overall_RMSE,VB-FQ,0.323216,0.313042,0.968523,3.1477
Profile P2: Tx15m / 20km / Rx3467m,Fade_RMSE,VB-FQ,0.352495,0.312653,0.886972,11.3028
Profile P3: Tx100m / 45km / Rx110m,Overall_RMSE,IAE,0.373218,0.262593,0.703591,29.6409
Profile P3: Tx100m / 45km / Rx110m,Fade_RMSE,IAE,0.382697,0.248858,0.650274,34.9726
Profile P3: Tx100m / 45km / Rx110m,Overall_RMSE,VB-FQ,0.274131,0.262593,0.957910,4.2090
Profile P3: Tx100m / 45km / Rx110m,Fade_RMSE,VB-FQ,0.288933,0.248858,0.861300,13.8700
