ProfileID,ProfileDescription,Variant_or_Comparison,Metric,PilotValue,PaperValue,Difference,RelativeDifference,DirectionConsistent
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,SNR50,-15,-15,0,NaN,NA
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,SNR05,-12,-12,0,NaN,NA
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,SNR50,-15,-15,0,NaN,NA
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,SNR05,-13,-12,1,NaN,NA
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,SNR50,-15,-15,0,NaN,NA
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,SNR05,-12,-12,0,NaN,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,IAE,SNR50,-12,-12,0,NaN,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,IAE,SNR05,-10,-10,0,NaN,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,SNR50,-13,-12,1,NaN,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,SNR05,-10,-10,0,NaN,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,SNR50,-13,-12,1,NaN,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,SNR05,-10,-10,0,NaN,NA
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,SNR50,-15,-15,0,NaN,NA
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,SNR05,-13,-12,1,NaN,NA
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,SNR50,-15,-15,0,NaN,NA
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,SNR05,-12,-13,-1,NaN,NA
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,SNR50,-15,-15,0,NaN,NA
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,SNR05,-12,-12,0,NaN,NA
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,Overall_RMSE,0.536452,0.535668,-0.00078403,-0.146151,NA
P1,Profile P1: Tx15m / 20km / Rx34m,IAE,Fade_RMSE,0.540113,0.550518,0.010405,1.92645,NA
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,Overall_RMSE,0.48698,0.486268,-0.000711436,-0.146091,NA
P1,Profile P1: Tx15m / 20km / Rx34m,VB-FQ,Fade_RMSE,0.49288,0.50033,0.00745011,1.51155,NA
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,Overall_RMSE,0.473048,0.474301,0.00125268,0.264811,NA
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,Fade_RMSE,0.450139,0.457426,0.00728758,1.61896,NA
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ/IAE,Overall,0.881809,0.885438,0.0036292,0.411564,TRUE
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ/IAE,Fade,0.833416,0.830902,-0.00251424,-0.301679,TRUE
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ/VB-FQ,Overall,0.971392,0.975389,0.00399731,0.411504,TRUE
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ/VB-FQ,Fade,0.913283,0.914249,0.000966394,0.105815,TRUE
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,m_PRE,0.973329,0.973779,0.000449635,0.0461956,NA
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,m_FADE,0.817492,0.81815,0.000658591,0.0805624,NA
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,ReffRvb_PRE,1.04362,1.0434,-0.000219181,-0.021002,NA
P1,Profile P1: Tx15m / 20km / Rx34m,E-FQ,ReffRvb_FADE,1.48456,1.48224,-0.00231557,-0.155977,NA
