Channel,Variant,Trials_Valid,SyncFailRate,BER_Valid,RMSE_Overall,RMSE_Pre,RMSE_Fade,RMSE_Post
Profile P1: Tx15m / 20km / Rx34m,IAE,200,0.0000,0.000000,0.5365,0.5052,0.5401,0.5569
Profile P1: Tx15m / 20km / Rx34m,KF-FQ,200,0.0000,0.000000,0.4984,0.4964,0.5191,0.4918
Profile P1: Tx15m / 20km / Rx34m,VB-FQ,200,0.0000,0.000000,0.4870,0.5003,0.4929,0.4759
Profile P1: Tx15m / 20km / Rx34m,E-FQ,200,0.0000,0.000000,0.4730,0.4951,0.4501,0.4619
Profile P2: Tx15m / 20km / Rx3467m,IAE,200,0.0000,0.000000,0.4016,0.3560,0.4297,0.4240
Profile P2: Tx15m / 20km / Rx3467m,KF-FQ,200,0.0000,0.000000,0.4087,0.3995,0.4645,0.3965
Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,200,0.0000,0.000000,0.3214,0.3282,0.3429,0.3014
Profile P2: Tx15m / 20km / Rx3467m,E-FQ,200,0.0000,0.000000,0.3120,0.3238,0.3051,0.2967
Profile P3: Tx100m / 45km / Rx110m,IAE,200,0.0000,0.000000,0.3701,0.3192,0.3801,0.4000
Profile P3: Tx100m / 45km / Rx110m,KF-FQ,200,0.0000,0.000000,0.4187,0.4136,0.4528,0.4112
Profile P3: Tx100m / 45km / Rx110m,VB-FQ,200,0.0000,0.000000,0.2756,0.2843,0.2862,0.2629
Profile P3: Tx100m / 45km / Rx110m,E-FQ,200,0.0000,0.000000,0.2629,0.2787,0.2465,0.2540
