Profile,Variant,Metric,OldValue,NewValue,AbsDifference,Pass
Profile P1: Tx15m / 20km / Rx34m,IAE,BER_Valid,0.000000,0.000000,0,1
Profile P1: Tx15m / 20km / Rx34m,IAE,FER_Overall,0.000000,0.000000,0,1
Profile P1: Tx15m / 20km / Rx34m,IAE,rmse_overall_Median,0.536452,0.536452,0,1
Profile P1: Tx15m / 20km / Rx34m,IAE,rmse_pre_Median,0.505247,0.505247,0,1
Profile P1: Tx15m / 20km / Rx34m,IAE,rmse_fade_Median,0.540113,0.540113,0,1
Profile P1: Tx15m / 20km / Rx34m,IAE,rmse_post_Median,0.556902,0.556902,0,1
Profile P1: Tx15m / 20km / Rx34m,VB-FQ,BER_Valid,0.000000,0.000000,0,1
Profile P1: Tx15m / 20km / Rx34m,VB-FQ,FER_Overall,0.000000,0.000000,0,1
Profile P1: Tx15m / 20km / Rx34m,VB-FQ,rmse_overall_Median,0.486980,0.486980,0,1
Profile P1: Tx15m / 20km / Rx34m,VB-FQ,rmse_pre_Median,0.500331,0.500331,0,1
Profile P1: Tx15m / 20km / Rx34m,VB-FQ,rmse_fade_Median,0.492880,0.492880,0,1
Profile P1: Tx15m / 20km / Rx34m,VB-FQ,rmse_post_Median,0.475923,0.475923,0,1
Profile P1: Tx15m / 20km / Rx34m,E-FQ,BER_Valid,0.000000,0.000000,0,1
Profile P1: Tx15m / 20km / Rx34m,E-FQ,FER_Overall,0.000000,0.000000,0,1
Profile P1: Tx15m / 20km / Rx34m,E-FQ,rmse_overall_Median,0.473048,0.473048,0,1
Profile P1: Tx15m / 20km / Rx34m,E-FQ,rmse_pre_Median,0.495063,0.495063,0,1
Profile P1: Tx15m / 20km / Rx34m,E-FQ,rmse_fade_Median,0.450139,0.450139,0,1
Profile P1: Tx15m / 20km / Rx34m,E-FQ,rmse_post_Median,0.461948,0.461948,0,1
Profile P2: Tx15m / 20km / Rx3467m,IAE,BER_Valid,0.000000,0.000000,0,1
Profile P2: Tx15m / 20km / Rx3467m,IAE,FER_Overall,0.000000,0.000000,0,1
Profile P2: Tx15m / 20km / Rx3467m,IAE,rmse_overall_Median,0.401602,0.401602,0,1
Profile P2: Tx15m / 20km / Rx3467m,IAE,rmse_pre_Median,0.355972,0.355972,0,1
Profile P2: Tx15m / 20km / Rx3467m,IAE,rmse_fade_Median,0.429663,0.429663,0,1
Profile P2: Tx15m / 20km / Rx3467m,IAE,rmse_post_Median,0.424021,0.424021,0,1
Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,BER_Valid,0.000000,0.000000,0,1
Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,FER_Overall,0.000000,0.000000,0,1
Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,rmse_overall_Median,0.321353,0.321353,0,1
Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,rmse_pre_Median,0.328182,0.328182,0,1
Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,rmse_fade_Median,0.342931,0.342931,0,1
Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,rmse_post_Median,0.301370,0.301370,0,1
Profile P2: Tx15m / 20km / Rx3467m,E-FQ,BER_Valid,0.000000,0.000000,0,1
Profile P2: Tx15m / 20km / Rx3467m,E-FQ,FER_Overall,0.000000,0.000000,0,1
Profile P2: Tx15m / 20km / Rx3467m,E-FQ,rmse_overall_Median,0.312034,0.312034,0,1
Profile P2: Tx15m / 20km / Rx3467m,E-FQ,rmse_pre_Median,0.323787,0.323787,0,1
Profile P2: Tx15m / 20km / Rx3467m,E-FQ,rmse_fade_Median,0.305137,0.305137,0,1
Profile P2: Tx15m / 20km / Rx3467m,E-FQ,rmse_post_Median,0.296743,0.296743,0,1
Profile P3: Tx100m / 45km / Rx110m,IAE,BER_Valid,0.000000,0.000000,0,1
Profile P3: Tx100m / 45km / Rx110m,IAE,FER_Overall,0.000000,0.000000,0,1
Profile P3: Tx100m / 45km / Rx110m,IAE,rmse_overall_Median,0.370105,0.370105,0,1
Profile P3: Tx100m / 45km / Rx110m,IAE,rmse_pre_Median,0.319161,0.319161,0,1
Profile P3: Tx100m / 45km / Rx110m,IAE,rmse_fade_Median,0.380144,0.380144,0,1
Profile P3: Tx100m / 45km / Rx110m,IAE,rmse_post_Median,0.400022,0.400022,0,1
Profile P3: Tx100m / 45km / Rx110m,VB-FQ,BER_Valid,0.000000,0.000000,0,1
Profile P3: Tx100m / 45km / Rx110m,VB-FQ,FER_Overall,0.000000,0.000000,0,1
Profile P3: Tx100m / 45km / Rx110m,VB-FQ,rmse_overall_Median,0.275597,0.275597,0,1
Profile P3: Tx100m / 45km / Rx110m,VB-FQ,rmse_pre_Median,0.284343,0.284343,0,1
Profile P3: Tx100m / 45km / Rx110m,VB-FQ,rmse_fade_Median,0.286190,0.286190,0,1
Profile P3: Tx100m / 45km / Rx110m,VB-FQ,rmse_post_Median,0.262901,0.262901,0,1
Profile P3: Tx100m / 45km / Rx110m,E-FQ,BER_Valid,0.000000,0.000000,0,1
Profile P3: Tx100m / 45km / Rx110m,E-FQ,FER_Overall,0.000000,0.000000,0,1
Profile P3: Tx100m / 45km / Rx110m,E-FQ,rmse_overall_Median,0.262916,0.262916,0,1
Profile P3: Tx100m / 45km / Rx110m,E-FQ,rmse_pre_Median,0.278703,0.278703,0,1
Profile P3: Tx100m / 45km / Rx110m,E-FQ,rmse_fade_Median,0.246528,0.246528,0,1
Profile P3: Tx100m / 45km / Rx110m,E-FQ,rmse_post_Median,0.253958,0.253958,0,1
