Profile,Comparison,Metric,N_Paired,Median_Difference,CI95_Lower,CI95_Upper,WinRate_EFQ,Median_Ratio
Profile P1: Tx15m / 20km / Rx34m,E-FQ vs IAE,Overall_RMSE,200,-0.059287,-0.064864,-0.053826,0.9700,0.8871
Profile P1: Tx15m / 20km / Rx34m,E-FQ vs VB-FQ,Overall_RMSE,200,-0.010781,-0.015637,-0.007140,0.6400,0.9782
Profile P1: Tx15m / 20km / Rx34m,E-FQ vs IAE,Fade_RMSE,200,-0.098715,-0.111579,-0.073566,0.8450,0.8204
Profile P1: Tx15m / 20km / Rx34m,E-FQ vs VB-FQ,Fade_RMSE,200,-0.039103,-0.048779,-0.028006,0.7250,0.9229
Profile P2: Tx15m / 20km / Rx3467m,E-FQ vs IAE,Overall_RMSE,200,-0.088406,-0.093788,-0.083574,1.0000,0.7761
Profile P2: Tx15m / 20km / Rx3467m,E-FQ vs VB-FQ,Overall_RMSE,200,-0.007618,-0.011653,-0.003590,0.6700,0.9746
Profile P2: Tx15m / 20km / Rx3467m,E-FQ vs IAE,Fade_RMSE,200,-0.124867,-0.135256,-0.110265,0.9600,0.7129
Profile P2: Tx15m / 20km / Rx3467m,E-FQ vs VB-FQ,Fade_RMSE,200,-0.032323,-0.045360,-0.023381,0.6650,0.9048
Profile P3: Tx100m / 45km / Rx110m,E-FQ vs IAE,Overall_RMSE,200,-0.106313,-0.111352,-0.102524,1.0000,0.7102
Profile P3: Tx100m / 45km / Rx110m,E-FQ vs VB-FQ,Overall_RMSE,200,-0.012010,-0.014772,-0.009823,0.8200,0.9569
Profile P3: Tx100m / 45km / Rx110m,E-FQ vs IAE,Fade_RMSE,200,-0.135757,-0.143511,-0.125847,0.9900,0.6481
Profile P3: Tx100m / 45km / Rx110m,E-FQ vs VB-FQ,Fade_RMSE,200,-0.041954,-0.050596,-0.034997,0.8500,0.8473
