Channel,SNR_dB,Variant,Trials_Valid,SyncFailRate,FER_Overall,FER_Valid,BER_Valid,Wilson_Lower,Wilson_Upper
Profile P1: Tx15m / 20km / Rx34m,-14,IAE,20,0.0000,0.0500,0.0500,0.000417,0.000074,0.002357
Profile P1: Tx15m / 20km / Rx34m,-13,IAE,20,0.0000,0.1500,0.1500,0.001250,0.000425,0.003669
Profile P1: Tx15m / 20km / Rx34m,-12,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-11,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-10,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-9,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-8,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-7,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-6,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-5,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-4,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-3,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-2,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-1,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,0,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-14,VB-FQ,20,0.0000,0.1500,0.1500,0.023750,0.018377,0.030646
Profile P1: Tx15m / 20km / Rx34m,-13,VB-FQ,20,0.0000,0.1000,0.1000,0.002083,0.000890,0.004868
Profile P1: Tx15m / 20km / Rx34m,-12,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-11,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-10,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-9,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-8,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-7,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-6,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-5,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-4,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-3,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-2,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,-1,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
