SNR_dB,c2,Mean_RMSE,Std_RMSE
0,0.001000,0.480718,0.034203
0,0.002783,0.408471,0.030348
0,0.007743,0.461914,0.037566
0,0.021544,0.452663,0.039145
0,0.059948,0.463007,0.043138
0,0.166810,0.464072,0.036819
0,0.464159,0.568552,0.056153
0,1.291550,0.546831,0.044282
0,3.593814,0.712018,0.051149
0,10.000000,0.826956,0.041877
15,0.001000,2.540021,0.014286
15,0.002783,2.545570,0.012462
15,0.007743,2.532148,0.014112
15,0.021544,2.484901,0.017490
15,0.059948,2.364736,0.012954
15,0.166810,2.095433,0.015689
15,0.464159,1.552502,0.011692
15,1.291550,0.982904,0.006455
15,3.593814,0.801803,0.006599
15,10.000000,0.809182,0.008035
