Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S0_Static,C,NORMAL,m_reliability,0.851071,0.856435,0.833866,0.866170
S0_Static,C,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S0_Static,C,NORMAL,R_vb,0.299767,0.272966,0.110729,0.500131
S0_Static,C,NORMAL,R_eff,0.299767,0.272966,0.110729,0.500131
S0_Static,C,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S0_Static,C,NORMAL,K_delay,0.670498,0.681562,0.496400,0.831394
S0_Static,C,NORMAL,Q11,0.330397,0.350116,0.096307,0.519840
S0_Static,C,NORMAL,Q22,0.002009,0.001932,0.001496,0.002726
S0_Static,C,NORMAL,tracking_error,0.295335,0.299905,-0.183484,0.786322
S0_Static,E,NORMAL,m_reliability,0.850223,0.855112,0.833680,0.865769
S0_Static,E,NORMAL,Lambda,1.373970,1.357798,1.325440,1.426530
S0_Static,E,NORMAL,R_vb,0.443336,0.468201,0.291854,0.542808
S0_Static,E,NORMAL,R_eff,0.608808,0.643819,0.404134,0.746367
S0_Static,E,NORMAL,R_eff_R_vb,1.373970,1.357798,1.325440,1.426530
S0_Static,E,NORMAL,K_delay,0.571075,0.545598,0.415922,0.750128
S0_Static,E,NORMAL,Q11,0.293719,0.236286,0.123781,0.567881
S0_Static,E,NORMAL,Q22,0.022889,0.008559,0.001569,0.072501
S0_Static,E,NORMAL,tracking_error,0.261208,0.263766,-0.152882,0.676778
S0_Static,E-VB-only,NORMAL,m_reliability,0.844496,0.849393,0.831890,0.865281
S0_Static,E-VB-only,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S0_Static,E-VB-only,NORMAL,R_vb,0.142152,0.141531,0.107133,0.173223
S0_Static,E-VB-only,NORMAL,R_eff,0.142152,0.141531,0.107133,0.173223
S0_Static,E-VB-only,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S0_Static,E-VB-only,NORMAL,K_delay,0.923487,0.931434,0.879346,0.955672
S0_Static,E-VB-only,NORMAL,Q11,1.402577,1.399003,0.681947,2.093746
S0_Static,E-VB-only,NORMAL,Q22,0.063840,0.052975,0.023484,0.118932
S0_Static,E-VB-only,NORMAL,tracking_error,0.276743,0.274495,-0.548838,1.112244
S0_Static,E-CAL,NORMAL,rho_raw,0.846143,0.840125,0.799219,0.891676
S0_Static,E-CAL,NORMAL,rho_relative,0.976921,1.000000,0.940457,1.000000
S0_Static,E-CAL,NORMAL,m_reliability,0.976746,0.993860,0.907201,1.000000
S0_Static,E-CAL,NORMAL,Lambda,1.027230,1.007843,1.000000,1.054415
S0_Static,E-CAL,NORMAL,R_vb,0.158678,0.159111,0.122832,0.203112
S0_Static,E-CAL,NORMAL,R_eff,0.163019,0.161444,0.127019,0.211537
S0_Static,E-CAL,NORMAL,R_eff_R_vb,1.027230,1.007843,1.000000,1.054415
S0_Static,E-CAL,NORMAL,K_delay,0.916670,0.921386,0.883214,0.949026
S0_Static,E-CAL,NORMAL,Q11,1.407069,1.388352,0.789147,2.057295
S0_Static,E-CAL,NORMAL,Q22,0.064553,0.053653,0.026254,0.118129
S0_Static,E-CAL,NORMAL,tracking_error,0.267400,0.270212,-0.549185,1.108873
S1_Warp,C,NORMAL,m_reliability,0.861940,0.868475,0.847300,0.883002
S1_Warp,C,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S1_Warp,C,NORMAL,R_vb,0.297817,0.268568,0.086292,0.539318
S1_Warp,C,NORMAL,R_eff,0.297817,0.268568,0.086292,0.539318
S1_Warp,C,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S1_Warp,C,NORMAL,K_delay,0.666109,0.665768,0.489697,0.852586
S1_Warp,C,NORMAL,Q11,0.287909,0.300555,0.094871,0.450926
S1_Warp,C,NORMAL,Q22,0.002015,0.001904,0.001435,0.002799
S1_Warp,C,NORMAL,tracking_error,-0.389610,-0.389161,-0.865675,0.064840
S1_Warp,E,NORMAL,m_reliability,0.861495,0.868723,0.845348,0.890593
S1_Warp,E,NORMAL,Lambda,1.361024,1.316673,1.254373,1.388487
S1_Warp,E,NORMAL,R_vb,0.876450,0.672250,0.422255,1.694507
S1_Warp,E,NORMAL,R_eff,1.227423,0.892139,0.554377,2.308970
S1_Warp,E,NORMAL,R_eff_R_vb,1.361024,1.316673,1.254373,1.388487
S1_Warp,E,NORMAL,K_delay,0.332530,0.310870,0.259455,0.431411
S1_Warp,E,NORMAL,Q11,0.084720,0.050705,0.025959,0.202281
S1_Warp,E,NORMAL,Q22,0.004853,0.000758,0.000136,0.017561
S1_Warp,E,NORMAL,tracking_error,-2.332974,-2.354565,-2.632263,-2.060984
