Scenario,Variant,RMSE_Median,RMSE_Mean,m_Median,Reff_Rvb_Median,ValidTrials,BER_Mean
S0_Static,C,0.4610,0.4688,0.8564,1.0000,10,0.000000
S0_Static,E,0.4112,0.4071,0.8551,1.3578,10,0.000000
S0_Static,E-VB-only,0.6705,0.6691,0.8494,1.0000,10,0.000000
S0_Static,E-CAL,0.6525,0.6594,0.9939,1.0078,10,0.000000
S1_Warp,C,0.5249,0.5270,0.8685,1.0000,10,0.000000
S1_Warp,E,2.3808,2.3528,0.8687,1.3167,10,0.000000
S1_Warp,E-VB-only,0.7284,0.7246,0.8623,1.0000,10,0.000000
S1_Warp,E-CAL,0.6718,0.6829,0.9765,1.0408,10,0.000000
S2_Fade,C,0.4008,0.4279,0.8536,1.0000,10,0.000000
S2_Fade,E,0.3137,0.3452,0.8486,1.3781,10,0.000000
S2_Fade,E-VB-only,0.6381,0.6487,0.8468,1.0000,10,0.000000
S2_Fade,E-CAL,0.5508,0.5687,0.9872,1.0106,10,0.000000
S3_Warp_Fade,C,0.5179,0.5282,0.8697,1.0000,10,0.000000
S3_Warp_Fade,E,2.3702,2.3391,0.8687,1.3168,10,0.000000
S3_Warp_Fade,E-VB-only,0.7427,0.7241,0.8572,1.0000,10,0.000000
S3_Warp_Fade,E-CAL,0.6538,0.6556,0.9678,1.0382,10,0.000000
